50 kb inversion clade
Ziziphus jujuba
Fragaria vesca
Prunus mume
Prunus avium
Prunus persica
Pyrus x bretschneideri
Malus domestica
Ricinus communis
Jatropha curcas
Hevea brasiliensis
Populus trichocarpa
Momordica charantia
Cucurbita pepo
Cucurbita moschata
Cucurbita maxima
Cucumis sativus
Cucumis melo
Eucalyptus grandis
Tarenaya hassleriana
Eutrema salsugineum
Brassica oleracea
Brassica rapa
Brassica napus
Camelina sativa
Capsella rubella
Arabidopsis lyrata
Arabidopsis thaliana
Carica papaya
Durio zibethinus
Theobroma cacao
Gossypium raimondii
Gossypium hirsutum
Citrus clementina
Citrus sinensis
Candidatus Mancarchaeum acidiphilum
Candidatus Nanopusillus acidilobi
Nanoarchaeum equitans
DPANN group
Candidatus Bathyarchaeota archaeon BA2
Candidatus Bathyarchaeota archaeon BA1
unclassified Candidatus Bathyarchaeota
Candidatus Korarchaeum cryptofilum
Candidatus Nitrosocaldus cavascurensis
Candidatus Nitrosocosmicus oleophilus
Candidatus Nitrososphaera evergladensis
Nitrososphaera viennensis
Candidatus Nitrososphaera gargensis
Candidatus Nitrosomarinus catalina
Candidatus Nitrosopumilus piranensis
Candidatus Nitrosopumilus adriaticus
Candidatus Nitrosopumilus koreensis
Candidatus Nitrosopumilus sediminis
Nitrosopumilus maritimus
Candidatus Nitrosotenuis cloacae
Candidatus Nitrosopelagicus brevis
Candidatus Nitrosotalea devanaterra
Candidatus Caldiarchaeum subterraneum
unclassified Thaumarchaeota
Cenarchaeum symbiosum
Fervidicoccus fontis
Acidilobus sp. 7A
Acidilobus saccharovorans
Caldisphaera lagunensis
Sulfurisphaera tokodaii
Metallosphaera cuprina
Metallosphaera hakonensis
Metallosphaera sedula
Acidianus hospitalis
Acidianus sulfidivorans
Acidianus manzaensis
Acidianus brierleyi
Saccharolobus solfataricus
Sulfolobus sp. A20
Sulfolobus islandicus
Sulfolobus acidocaldarius
Pyrodictium delaneyi
Pyrolobus fumarii
Hyperthermus butylicus
Thermogladius calderae
Ignisphaera aggregans
Aeropyrum camini
Aeropyrum pernix
Ignicoccus hospitalis
Ignicoccus islandicus
Thermosphaera aggregans
Staphylothermus hellenicus
Staphylothermus marinus
Desulfurococcus amylolyticus
Desulfurococcus mucosus
Vulcanisaeta moutnovskia
Vulcanisaeta distributa
Caldivirga maquilingensis
Pyrobaculum sp. WP30
Pyrobaculum ferrireducens
Pyrobaculum calidifontis
Pyrobaculum arsenaticum
Pyrobaculum oguniense
Pyrobaculum neutrophilum
Pyrobaculum aerophilum
Pyrobaculum islandicum
Thermoproteus uzoniensis
Thermoproteus tenax
Thermofilum uzonense
Thermofilum carboxyditrophus
Thermofilum adornatus
Thermofilum pendens
TACK group
Methanopyrus kandleri
Aciduliprofundum sp. MAR08-339
Aciduliprofundum boonei
methanogenic archaeon ISO4-H5
Candidatus Methanoplasma termitum
Candidatus Methanomassiliicoccus intestinalis
Candidatus Methanomethylophilus alvus
Cuniculiplasma divulgatum
Thermoplasmatales archaeon BRNA1
Picrophilus torridus
Ferroplasma acidarmanus
Ferroplasma acidiphilum
Thermoplasma volcanium
Thermoplasma acidophilum
Diaforarchaea group
Palaeococcus pacificus
Thermococcus sp. 5-4
Thermococcus piezophilus
Thermococcus sp. 2319x1
Thermococcus eurythermalis
Thermococcus sp. 4557
Thermococcus paralvinellae
Thermococcus onnurineus
Thermococcus kodakarensis
Thermococcus thioreducens
Thermococcus sp. AM4
Thermococcus nautili
Thermococcus radiotolerans
Thermococcus gammatolerans
Thermococcus sibiricus
Thermococcus cleftensis
Thermococcus guaymasensis
Thermococcus siculi
Thermococcus pacificus
Thermococcus gorgonarius
Thermococcus barophilus
Thermococcus chitonophagus
Thermococcus barossii
Thermococcus peptonophilus
Thermococcus profundus
Thermococcus litoralis
Thermococcus celer
Pyrococcus kukulkanii
Pyrococcus sp. ST04
Pyrococcus yayanosii
Pyrococcus sp. NA2
Pyrococcus horikoshii
Pyrococcus abyssi
Pyrococcus furiosus
Geoglobus acetivorans
Geoglobus ahangari
Ferroglobus placidus
Archaeoglobus sulfaticallidus
Archaeoglobus profundus
Archaeoglobus veneficus
Archaeoglobus fulgidus
Nanohaloarchaea archaeon SG9
Salinarchaeum sp. Harcht-Bsk1
Natronolimnobius sp. AArc-Mg
Natronolimnobius sp. AArc1
Natronolimnobius aegyptiacus
Halopiger xanaduensis
Halovivax ruber
Halostagnicola larsenii
Halobiforma lacisalsi
Natrinema sp. J7-2
Natrinema pellirubrum
Haloterrigena daqingensis
Haloterrigena turkmenica
Natronobacterium gregoryi
Natronococcus occultus
Natrialba magadii
halophilic archaeon DL31
Halohasta litchfieldiae
Salinigranum rubrum
Halorubrum lacusprofundi
Haloplanus sp. CBA1113
Haloplanus sp. CBA1112
Haloquadratum walsbyi
Halogeometricum borinquense
Haloferax gibbonsii
Haloferax mediterranei
Haloferax volcanii
Halodesulfurarchaeum formicicum
Halanaeroarchaeum sulfurireducens
Halalkalicoccus jeotgali
Halobacterium hubeiense
Halobacterium sp. DL1
Halobacterium salinarum
Halorientalis sp. IM1011
Haloarculaceae archaeon HArcel1
Halorhabdus tiamatea
Halorhabdus utahensis
Halomicrobium mukohataei
Natronomonas moolapensis
Natronomonas pharaonis
Haloarcula taiwanensis
Haloarcula sp. CBA1115
Haloarcula hispanica
Haloarcula marismortui
Methanocella arvoryzae
Methanocella conradii
Methanocella paludicola
Methanosphaerula palustris
Methanoregula formicica
Methanoregula boonei
Methanocorpusculum labreanum
Methanospirillum hungatei
Methanolacinia petrolearia
Methanoculleus sp. MAB1
Methanoculleus bourgensis
Methanoculleus marisnigri
Methanosaeta harundinacea
Methanothrix thermoacetophila
Methanothrix soehngenii
Methanolobus psychrophilus
Methanomethylovorans hollandica
Methanosalsum zhilinae
Methanohalobium evestigatum
Methanococcoides burtonii
Methanococcoides methylutens
Methanosarcina flavescens
Methanosarcina sp. WWM596
Methanosarcina sp. WH1
Methanosarcina sp. MTP4
Methanosarcina sp. Kolksee
Methanosarcina horonobensis
Methanosarcina lacustris
Methanosarcina siciliae
Methanosarcina vacuolata
Methanosarcina acetivorans
Methanosarcina thermophila
Methanosarcina mazei
Methanosarcina barkeri
Methanohalophilus halophilus
Methanohalophilus mahii
Stenosarchaea group
Methanocaldococcus bathoardescens
Methanocaldococcus sp. FS406-22
Methanocaldococcus fervens
Methanocaldococcus vulcanius
Methanocaldococcus infernus
Methanocaldococcus jannaschii
Methanotorris igneus
Methanothermococcus okinawensis
Methanococcus aeolicus
Methanococcus maripaludis
Methanococcus voltae
Methanococcus vannielii
Methanothermus fervidus
Methanothermobacter sp. EMTCatA1
Methanothermobacter sp. MT-2
Methanothermobacter sp. CaT2
Methanothermobacter marburgensis
Methanothermobacter thermautotrophicus
Methanothermobacter wolfeii
Methanosphaera sp. BMS
Methanosphaera stadtmanae
Methanobrevibacter sp. YE315
Methanobrevibacter olleyae
Methanobrevibacter millerae
Methanobrevibacter sp. AbM4
Methanobrevibacter ruminantium
Methanobrevibacter smithii
Methanobacterium sp. BRmetb2
Methanobacterium sp. MZ-A1
Methanobacterium sp. MB1
Methanobacterium lacus
Methanobacterium paludis
Methanobacterium congolense
Methanobacterium subterraneum
Methanobacterium formicicum
Methanomada group
Desulfurispirillum indicum
Caldisericum exile
bacterium AB1
Candidatus Bipolaricaulis anaerobius
Candidatus Peribacter riflensis
Candidatus Saccharibacteria oral taxon TM7x
Candidatus Saccharimonas aalborgensis
Candidatus Saccharibacteria
Candidatus Methylomirabilis oxyfera
Bacteria candidate phyla
unclassified Bacteria
Caldithrix abyssi
Endomicrobium proavitum
Candidatus Endomicrobium trichonymphae
Elusimicrobium minutum
uncultured Termite group 1 bacterium
Cloacibacillus porcorum
Fretibacterium fastidiosum
Thermovirga lienii
Acetomicrobium mobile
Aminobacterium colombiense
Thermanaerovibrio acidaminovorans
Luteitalea pratensis
Chloracidobacterium thermophilum
Candidatus Solibacter usitatus
Acidobacteriaceae bacterium SBC82
Granulicella tundricola
Granulicella mallensis
Candidatus Koribacter versatilis
Terriglobus saanensis
Terriglobus roseus
Acidobacterium capsulatum
Calditerrivibrio nitroreducens
Deferribacter desulfuricans
Denitrovibrio acetiphilus
Flexistipes sinusarabici
Mesotoga infera
Mesotoga prima
Kosmotoga pacifica
Kosmotoga olearia
Defluviitoga tunisiensis
Marinitoga sp. 1137
Marinitoga piezophila
Petrotoga mobilis
Fervidobacterium pennivorans
Fervidobacterium nodosum
Fervidobacterium islandicum
Thermosipho sp. 1063
Thermosipho sp. 1070
Thermosipho melanesiensis
Thermosipho africanus
Pseudothermotoga lettingae
Pseudothermotoga thermarum
Pseudothermotoga hypogea
Thermotoga sp. 2812B
Thermotoga sp. Cell2
Thermotoga sp. RQ2
Thermotoga sp. RQ7
Thermotoga naphthophila
Thermotoga petrophila
Thermotoga neapolitana
Thermotoga maritima
Caldimicrobium thiodismutans
Thermodesulfatator indicus
Thermodesulfobacterium geofontis
Thermodesulfobacterium commune
Thermovibrio ammonificans
Desulfurobacterium thermolithotrophum
Thermosulfidibacter takaii
Sulfurihydrogenibium sp. YO3AOP1
Sulfurihydrogenibium azorense
Persephonella marina
Hydrogenobaculum sp. SN
Hydrogenobaculum sp. HO
Hydrogenobaculum sp. Y04AAS1
Thermocrinis albus
Thermocrinis ruber
Aquifex aeolicus
Hydrogenobacter thermophilus
Ilyobacter polytropus
Fusobacterium hwasookii
Fusobacterium ulcerans
Fusobacterium periodonticum
Fusobacterium varium
Fusobacterium nucleatum
Fusobacterium mortiferum
Fusobacterium gonidiaformans
Sneathia amnii
Leptotrichia sp. oral taxon 847
Leptotrichia sp. oral taxon 498
Leptotrichia sp. oral taxon 212
Leptotrichia buccalis
Streptobacillus moniliformis
Sebaldella termitidis
Candidatus Nitrospira inopinata
Nitrospira japonica
Nitrospira defluvii
Nitrospira moscoviensis
Thermodesulfovibrio yellowstonii
Leptospirillum sp. Group II 
CF-1

Leptospirillum ferriphilum
Leptospirillum ferrooxidans
Turneriella parva
Leptospira mayottensis
Leptospira kmetyi
Leptospira alstonii
Leptospira santarosai
Leptospira borgpetersenii
Leptospira interrogans
Leptospira biflexa
Brachyspira hampsonii
Brachyspira murdochii
Brachyspira intermedia
Brachyspira pilosicoli
Brachyspira hyodysenteriae
Salinispira pacifica
Sphaerochaeta pleomorpha
Sphaerochaeta globosa
Sphaerochaeta coccoides
Sediminispirochaeta smaragdinae
Treponema sp. OMZ 838
Treponema pedis
Treponema putidum
Treponema caldarium
Treponema azotonutricium
Treponema primitia
Treponema brennaborense
Treponema paraluiscuniculi
Treponema succinifaciens
