name	taxid
Nitrosospira_multiformis	1231
Piscirickettsia_salmonis	1238
Leuconostoc_gelidum	1244
Leuconostoc_mesenteroides	1245
Leuconostoc_lactis	1246
Oenococcus_oeni	1247
Weissella_paramesenteroides	1249
Leuconostoc_carnosum	1252
Pediococcus_acidilactici	1254
Pediococcus_pentosaceus	1255
Finegoldia_magna	1260
Ruminococcus_albus	1264
Micrococcus_luteus	1270
Dermacoccus_nishinomiyaensis	1274
Kytococcus_sedentarius	1276
Staphylococcus_aureus	1280
Staphylococcus_carnosus	1281
Staphylococcus_epidermidis	1282
Staphylococcus_haemolyticus	1283
Staphylococcus_hyicus	1284
Staphylococcus_simulans	1286
Staphylococcus_xylosus	1288
Staphylococcus_warneri	1292
Staphylococcus_schleiferi	1295
Staphylococcus_sciuri	1296
Deinococcus_radiodurans	1299
Streptococcus_gordonii	1302
Streptococcus_oralis	1303
Streptococcus_salivarius	1304
Streptococcus_sanguinis	1305
Streptococcus_suis	1307
Streptococcus_thermophilus	1308
Streptococcus_mutans	1309
Streptococcus_sobrinus	1310
Streptococcus_agalactiae	1311
Streptococcus_pneumoniae	1313
Streptococcus_pyogenes	1314
Streptococcus_parasanguinis	1318
Blautia_hansenii	1322
Streptococcus_anginosus	1328
Streptococcus_dysgalactiae	1334
Streptococcus_equi	1336
Streptococcus_intermedius	1338
Streptococcus_iniae	1346
Streptococcus_parauberis	1348
Streptococcus_uberis	1349
Enterococcus_faecalis	1351
Enterococcus_faecium	1352
Enterococcus_gallinarum	1353
Enterococcus_hirae	1354
Lactococcus_lactis	1358
Lactococcus_garvieae	1363
Lactococcus_piscium	1364
Lactococcus_raffinolactis	1366
Planococcus_kocurii	1374
Aerococcus_urinae	1376
Aerococcus_viridans	1377
Atopobium_parvulum	1382
Bacillus_amyloliquefaciens	1390
Bacillus_anthracis	1392
Brevibacillus_brevis	1393
Bacillus_cereus	1396
Bacillus_coagulans	1398
Paenibacillus_lautus	1401
Bacillus_licheniformis	1402
Bacillus_megaterium	1404
Bacillus_mycoides	1405
Paenibacillus_polymyxa	1406
Bacillus_pumilus	1408
Bacillus_cellulosilyticus	1413
Lysinibacillus_sphaericus	1421
Geobacillus_stearothermophilus	1422
Bacillus_subtilis	1423
Parageobacillus_thermoglucosidasius	1426
Bacillus_thuringiensis	1428
Amphibacillus_xylanus	1449
Bacillus_atrophaeus	1452
Geobacillus_kaustophilus	1462
Paenibacillus_larvae	1464
Brevibacillus_laterosporus	1465
Bacillus_methanolicus	1471
Sporosarcina_psychrophila	1476
Bacillus_simplex	1478
Bacillus_smithii	1479
Virgibacillus_halodenitrificans	1482
Clostridium_acetobutylicum	1488
Clostridium_botulinum	1491
Clostridium_butyricum	1492
Clostridium_cellulovorans	1493
Clostridioides_difficile	1496
Clostridium_formicaceticum	1497
Clostridium_pasteurianum	1501
Clostridium_perfringens	1502
Paeniclostridium_sordellii	1505
Clostridium_sporogenes	1509
Thermoclostridium_stercorarium	1510
Acetoanaerobium_sticklandii	1511
Clostridium_tetani	1513
Hungateiclostridium_thermocellum	1515
Thermoanaerobacterium_thermosaccharolyticum	1517
Clostridium_tyrobutyricum	1519
Clostridium_beijerinckii	1520
Ruminiclostridium_cellulolyticum	1521
Moorella_thermoacetica	1525
Clostridium_kluyveri	1534
Clostridium_ljungdahlii	1538
Clostridium_novyi	1542
Clostridium_scatologenes	1548
Gottschalkia_acidurici	1556
Clostridium_baratii	1561
Desulfosporosinus_orientis	1563
Desulfotomaculum_ruminis	1564
Desulfotomaculum_nigrificans	1565
Halobacillus_halophilus	1570
Sporosarcina_ureae	1571
Leifsonia_xyli	1575
Lactobacillus_acidophilus	1579
Lactobacillus_brevis	1580
Lactobacillus_buchneri	1581
Lactobacillus_casei	1582
Lactobacillus_delbrueckii	1584
Lactobacillus_helveticus	1587
Lactobacillus_pentosus	1589
Lactobacillus_plantarum	1590
Lactobacillus_gasseri	1596
Lactobacillus_paracasei	1597
Lactobacillus_reuteri	1598
Lactobacillus_sakei	1599
Lactobacillus_acetotolerans	1600
Lactobacillus_agilis	1601
Lactobacillus_alimentarius	1602
Lactobacillus_amylophilus	1603
Lactobacillus_amylovorus	1604
Lactobacillus_coryniformis	1610
Lactobacillus_fermentum	1613
Lactobacillus_ruminis	1623
Lactobacillus_salivarius	1624
Lactobacillus_sanfranciscensis	1625
Lactobacillus_oris	1632
Listeria_ivanovii	1638
Listeria_monocytogenes	1639
Listeria_seeligeri	1640
Listeria_innocua	1642
Listeria_welshimeri	1643
Renibacterium_salmoninarum	1646
Erysipelothrix_rhusiopathiae	1648
Actinomyces_naeslundii	1655
Trueperella_pyogenes	1661
Bifidobacterium_adolescentis	1680
Bifidobacterium_bifidum	1681
Bifidobacterium_angulatum	1683
Bifidobacterium_asteroides	1684
Bifidobacterium_breve	1685
Bifidobacterium_catenulatum	1686
Bifidobacterium_coryneforme	1687
Bifidobacterium_dentium	1689
Bifidobacterium_indicum	1691
Bifidobacterium_pseudolongum	1694
Corynebacterium_ammoniagenes	1697
Brevibacterium_linens	1703
Corynebacterium_stationis	1705
Cellulomonas_fimi	1708
Cellulosimicrobium_cellulans	1710
Cellulomonas_flavigena	1711
Corynebacterium_diphtheriae	1717
Corynebacterium_glutamicum	1718
Corynebacterium_pseudotuberculosis	1719
Corynebacterium_callunae	1721
Corynebacterium_variabile	1727
Peptoclostridium_acidaminophilum	1731
Eubacterium_limosum	1736
Thermodesulfobacterium_commune	1741
Propionibacterium_freudenreichii	1744
Cutibacterium_acnes	1747
Acidipropionibacterium_acidipropionici	1748
Pseudopropionibacterium_propionicum	1750
Mycobacterium_avium	1764
Mycolicibacterium_fortuitum	1766
Mycobacterium_intracellulare	1767
Mycobacterium_kansasii	1768
Mycobacterium_leprae	1769
Mycolicibacterium_phlei	1771
Mycolicibacterium_smegmatis	1772
Mycobacterium_tuberculosis	1773
Mycobacteroides_chelonae	1774
Mycobacterium_marinum	1781
Mycolicibacter_terrae	1788
Mycolicibacterium_neoaurum	1795
Mycolicibacterium_thermoresistibile	1797
Mycolicibacterium_chubuense	1800
Mycolicibacterium_gilvum	1804
Mycobacterium_ulcerans	1809
Mycolicibacterium_vaccae	1810
Amycolatopsis_methanolica	1814
Rhodococcus_fascians	1828
Rhodococcus_rhodochrous	1829
Rhodococcus_ruber	1830
Rhodococcus_erythropolis	1833
Saccharopolyspora_erythraea	1836
Saccharomonospora_viridis	1852
Frankia_alni	1859
Geodermatophilus_obscurus	1861
Dermatophilus_congolensis	1863
Actinoplanes_missouriensis	1866
Streptomyces_albidoflavus	1886
Streptomyces_albus	1888
Streptomyces_ambofaciens	1889
Kitasatospora_aureofaciens	1894
Streptomyces_clavuligerus	1901
Streptomyces_coelicolor	1902
Streptomyces_glaucescens	1907
Streptomyces_globisporus	1908
Streptomyces_griseus	1911
Streptomyces_hygroscopicus	1912
