kegg.code	taxa.id
lmi	5665
lbz	5660
5656	5656
3039	3039
ngr	5762
tva	5722
gla	5741
eco	562
ecj	562
ecd	562
ebw	562
ecok	562
ece	562
ecs	562
ecf	562
etw	562
elx	562
eoj	562
eoi	562
eoh	562
ecoo	562
ecoh	562
ecg	562
eok	562
elr	562
eso	562
esm	562
esl	562
ecw	562
elh	562
eun	562
ecc	562
ecp	562
eci	562
ecv	562
ecx	562
ecm	562
ecy	562
ecr	562
ecq	562
eck	562
ect	562
eoc	562
eum	562
ecz	562
elo	562
eln	562
ese	562
ecl	562
ebr	562
ebd	562
eko	562
ekf	562
eab	562
edh	562
edj	562
eih	562
ena	562
elu	562
elw	562
ell	562
elc	562
eld	562
elp	562
ebl	562
ebe	562
elf	562
ecoa	562
ecol	562
ecoi	562
ecoj	562
ecos	562
562	562
efe	564
eal	208962
ema	1499973
sty	28901
stt	28901
sex	28901
sent	28901
stm	28901
seo	28901
sev	28901
sey	28901
sem	28901
sej	28901
seb	28901
sef	28901
setu	28901
setc	28901
senr	28901
send	28901
seni	28901
seen	28901
spt	28901
sek	28901
spq	28901
sei	28901
sec	28901
seh	28901
shb	28901
senh	28901
seeh	28901
see	28901
senn	28901
sew	28901
sea	28901
sens	28901
sed	28901
seg	28901
sel	28901
sega	28901
set	28901
sena	28901
seno	28901
senv	28901
senq	28901
senl	28901
senj	28901
seec	28901
seeb	28901
seep	28901
senb	28901
sene	28901
senc	28901
ses	28901
28901	28901
sbg	54736
sbz	54736
sbv	54736
644616	644616
sfl	623
sfx	623
sfv	623
sfe	623
sfn	623
sfs	623
sft	623
623	623
ssn	624
624	624
sbo	621
sbc	621
621	621
sdy	622
sdz	622
622	622
shq	1813821
1074431	1074431
1074432	1074432
1074433	1074433
1074434	1074434
1074435	1074435
1074436	1074436
1074437	1074437
ent	399742
enc	550
eno	550
eclo	550
eec	550
enl	550
eclg	550
ecle	550
ecln	550
ecli	550
550	550
eclx	158836
ecly	158836
eclz	158836
ehm	158836
exf	158836
ecla	158836
eclc	158836
158836	158836
eas	61645
eau	61645
61645	61645
ekb	208224
208224	208224
elg	299767
ecan	69218
ern	1812935
ecls	1812935
1619248	1619248
1445416	1445416
enr	1166130
enx	1560339
enf	1692238
881260	881260
291398	291398
1546034	1546034
esa	28141
csk	28141
csz	28141
csj	28141
ccon	1163710
cdm	413497
csi	413503
cmj	413503
cui	535744
cmw	413501
ctu	413502
kpn	573
kpu	573
kpm	573
kpp	573
kph	573
kpz	573
kpv	573
